Box_X,Box_Y,Box_Width,Box_Height,Confidence,Class_0_Probability,Class_1_Probability,Class_2_Probability,Class_3_Probability,Class_4_Probability,Class_5_Probability,Class_6_Probability,Class_7_Probability,Class_8_Probability,Class_9_Probability,Extra
84.8185,574.858,21.5552,15.2019,1.43051e-06,82.1616,567.744,86.2487,571.572,81.5485,571.398,83.6634,575.962,84.7961,579.411,0.982919
92.7403,576.257,18.1984,9.27454,4.29153e-06,90.763,567.609,94.173,572.328,90.0192,570.88,91.8268,575.01,92.7912,579.268,0.982941
101.181,579.462,17.9178,8.8932,1.60933e-06,98.0028,567.742,101.648,571.399,97.7857,570.727,99.3649,576.335,100.075,579.795,0.983061
108.853,580.004,15.7154,15.3649,1.16229e-06,105.556,569.224,109.284,571.596,105.865,571.964,107.075,577.976,107.696,580.367,0.983042
116.279,581.265,16.461,13.2515,1.57952e-06,111.16,571.838,115.996,572.051,113.632,573.852,112.457,579.772,114.279,580.367,0.982913
127.403,582.258,16.0663,20.5583,1.40071e-06,121.002,574.284,126.144,573.538,124.019,576.663,122.972,582.486,124.521,582.158,0.982831
133.395,582.928,20.7342,11.9445,1.2815e-06,126.766,577.564,131.696,576.725,129.918,579.927,128.908,584.021,130.837,583.324,0.982724
141.741,583.204,20.8291,10.6782,1.99676e-06,134.743,578.394,139.714,577.396,137.961,580.733,137.106,584.765,138.988,583.912,0.982718
149.085,583.085,19.4545,10.458,1.75834e-06,142.555,578.868,147.523,577.807,145.743,581.179,144.854,585.089,146.833,584.146,0.982703
156.674,583.244,18.2526,10.0016,2.11596e-06,150.189,579.123,155.251,578.037,153.365,581.377,152.534,585.359,154.56,584.382,0.982715
164.491,582.732,18.6875,11.6773,1.69873e-06,158.452,579.402,163.486,578.51,161.774,581.818,160.911,585.454,162.984,584.629,0.982662
172.59,582.713,19.6276,11.7277,1.2219e-06,166.25,579.248,171.373,578.378,169.627,581.665,168.746,585.416,170.843,584.603,0.982665
180.998,582.756,20.6088,12.2689,1.16229e-06,174.441,579.028,179.624,578.218,177.844,581.52,176.974,585.329,179.057,584.577,0.982677
189.023,582.628,20.6432,12.7153,1.07288e-06,182.653,578.776,187.779,577.987,186.047,581.28,185.132,585.066,187.198,584.342,0.982671
197.584,582.914,21.3933,12.0687,1.16229e-06,190.747,578.467,195.932,577.644,194.122,580.982,193.224,584.987,195.244,584.265,0.982703
205.619,582.87,21.1431,12.1445,1.19209e-06,198.969,578.404,204.102,577.591,202.34,580.938,201.4,584.892,203.42,584.183,0.982696
213.705,582.891,21.3623,11.9027,1.3411e-06,206.975,578.367,212.086,577.548,210.337,580.88,209.377,584.846,211.392,584.132,0.982697
221.92,582.855,21.3779,11.5444,1.51992e-06,215.284,578.393,220.362,577.577,218.631,580.924,217.661,584.837,219.665,584.125,0.982689
229.589,582.848,21.2425,11.3824,1.49012e-06,222.97,578.522,228.001,577.607,226.271,580.957,225.28,584.833,227.313,584.022,0.982688
237.503,582.877,21.0602,11.631,1.57952e-06,230.838,578.631,235.861,577.692,234.114,581.047,233.161,584.903,235.189,584.068,0.982693
245.13,582.724,20.1147,12.1561,1.60933e-06,238.769,578.781,243.739,577.82,242.003,581.179,241.076,584.924,243.12,584.061,0.982681
252.552,582.855,17.7538,12.5637,1.93715e-06,246.474,578.915,251.483,577.945,249.629,581.249,248.777,585.034,250.853,584.148,0.982694
260.53,582.42,18.0171,14.8288,1.63913e-06,254.874,579.122,259.786,578.302,258.104,581.523,257.242,585.038,259.28,584.288,0.982661
268.37,582.5,17.7925,14.8245,1.49012e-06,262.731,579.094,267.705,578.29,265.976,581.457,265.107,585.068,267.167,584.32,0.982665
276.185,582.482,17.4329,15.9325,1.2517e-06,270.727,579.171,275.716,578.365,274.015,581.562,273.156,585.168,275.213,584.435,0.982666
282.864,582.792,12.3727,15.8333,1.72853e-06,278.517,579.315,283.569,578.541,281.666,581.65,280.872,585.322,283.025,584.59,0.982687
292.199,582.937,16.7916,20.6404,9.23872e-07,286.504,578.864,291.708,578.277,289.856,581.578,289.134,585.466,291.144,584.982,0.982758
299.306,583.295,14.0371,22.4178,7.45058e-07,294.267,578.767,299.546,578.245,297.518,581.446,296.787,585.39,298.932,584.977,0.982775
