x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9,extra
316.13666,199.24371,13.4861145,19.038082,8.34465e-07,314.62183,195.90524,318.28778,196.30669,317.51572,199.6974,315.30542,203.03676,318.62054,203.42146,0.9843111
324.45038,198.93196,18.707067,25.267914,6.2584877e-07,322.2315,195.61154,326.60248,196.06819,324.71408,199.75513,322.48685,203.03598,326.15094,203.46999,0.9843389
329.02408,196.41373,19.582838,25.115938,1.9967556e-06,326.1681,192.87744,332.4948,193.37204,329.37067,197.79834,326.63852,200.90544,331.80194,201.3014,0.984293
337.88437,199.80196,28.42661,34.10507,1.2814999e-06,333.48227,195.17068,341.6105,195.7183,337.1781,202.05325,334.15356,206.1587,339.76303,206.54077,0.9843097
345.49493,200.66153,27.264957,30.25203,1.1026859e-06,342.57712,196.97823,349.86,197.66492,345.59833,202.97357,342.47195,207.00652,347.64062,207.45314,0.98429984
356.03394,201.14737,24.71963,26.051188,2.4437904e-06,353.02628,198.26833,359.67053,198.85803,355.84802,203.28549,352.68237,206.96127,358.12244,207.3202,0.9843339
362.8264,199.4153,22.46451,27.135004,8.046627e-07,359.31784,195.66385,366.14703,196.47794,362.76035,201.20595,359.7907,205.09344,365.29474,205.68715,0.98430073
371.28513,194.86926,20.37232,24.460583,1.1622906e-06,368.2669,192.2129,374.7213,193.06659,371.2507,197.15552,368.33804,200.39351,374.28357,201.012,0.98432577
380.8701,197.02797,19.770077,27.673883,8.940697e-07,377.52518,193.44742,383.92575,194.54572,379.41223,199.37659,376.83856,202.55907,382.55072,203.37851,0.98434424
387.85953,198.09662,24.354477,28.484362,3.874302e-07,382.5666,193.9371,389.59537,195.13312,383.4689,199.83833,382.10556,203.54065,387.8461,204.2841,0.9843294
395.4276,200.20453,27.223763,31.033863,8.34465e-07,390.3019,196.07127,397.48788,197.42944,392.09283,201.4422,390.36566,205.0011,395.76257,205.97752,0.9843247
402.74683,200.27905,24.46812,30.39684,1.1026859e-06,398.268,196.32274,406.0374,197.23712,402.11493,202.23262,399.47305,205.86786,405.26056,206.53484,0.98427796
412.18484,197.12315,24.732641,32.52286,5.9604645e-07,408.54208,193.48834,415.4728,194.29385,412.7838,199.2967,409.57648,203.05542,415.0673,203.73221,0.984293
